cell_id,ite,ite_lo,ite_hi,depth_zone,bathymetry,vessel_density,dvm_amplitude,is_treated,is_post_covid
LAT37.3_LON-37.4,-0.3555658676513405,-0.3774789997184784,-0.33365273558420283,deep,4200,0.07525956833179047,0.2038535956395518,0,0
LAT50.9_LON-4.7,-0.3475330881649105,-0.35490656488046196,-0.34015961144935863,shallow,60,0.0,1.0863727840196373,1,0
LAT36.6_LON-32.8,-0.350285801540197,-0.35976429525779796,-0.34080730782259605,deep,4200,1.0923382885446167,-0.020540767553337447,0,0
LAT36.6_LON-32.0,-0.3489848587711271,-0.3566405320178507,-0.34132918552440356,deep,4200,0.5585078130249378,0.40408689077460114,0,0
LAT49.5_LON-0.1,-0.3563354537446372,-0.3726788560820015,-0.3399920514072731,shallow,60,1.4314215338451175,0.9101094330758851,1,0
LAT39.2_LON-37.1,-0.35343406224196516,-0.3744433084197195,-0.3324248160642109,deep,4200,0.0,-0.01130565239038267,0,1
LAT50.0_LON0.3,-0.3551254522342372,-0.36954274281988303,-0.340708161648591,shallow,60,0.3870896991833592,1.1958099516215321,1,0
LAT50.1_LON-1.8,-0.35710701847990245,-0.3723678164026715,-0.3418462205571334,shallow,60,0.0,1.386905023706122,1,0
LAT40.4_LON-42.6,-0.35365416234101077,-0.3715281275536838,-0.33578019712833773,deep,4500,0.0,1.0959683548654595,0,0
LAT35.3_LON-37.2,-0.35250702365739395,-0.3596480987914708,-0.3453659485233171,deep,4200,0.30978055280727995,-0.2874199869701928,0,0
LAT50.0_LON-0.9,-0.3517002590304567,-0.3620632170941742,-0.3413373009667392,shallow,60,0.4043757082324944,2.2297751496958718,1,0
LAT50.2_LON-0.8,-0.34628238393321437,-0.35415780493026927,-0.33840696293616,shallow,60,0.0,1.6908635301734498,1,0
LAT35.0_LON-36.2,-0.3484159758682766,-0.3902242970788867,-0.30660765465766643,deep,4200,0.0,-0.019039601470402123,0,1
LAT56.0_LON7.2,-0.33552078699215443,-0.343279297568603,-0.3277622764157059,shallow,95,0.0,1.784198715243139,1,0
LAT43.2_LON-37.5,-0.3468297191452352,-0.35922058208275653,-0.3344388562077133,deep,4500,0.0,0.0496410099416362,0,0
LAT36.1_LON-36.1,-0.3541663381159674,-0.3802949217580195,-0.3280377544739155,deep,4200,0.0,-0.13399589390508615,0,0
LAT49.8_LON-2.7,-0.34999087446282595,-0.3574890727399019,-0.3424926761857498,shallow,60,0.6561001413060412,1.4169260707793032,1,0
LAT38.4_LON-37.5,-0.3560611857083082,-0.4018971771825311,-0.3102251942340853,deep,4200,0.5678003014677184,0.0931080556917474,0,0
LAT50.1_LON0.6,-0.34702051478948026,-0.3616230345068468,-0.33241799507211384,shallow,60,0.4419288860239253,1.636626210103373,1,1
LAT52.6_LON3.0,-0.3498510026905431,-0.3557631843874014,-0.3439388209936848,shallow,95,0.06406919204818363,1.6032868954729087,1,1
LAT36.0_LON-38.9,-0.35202674783050725,-0.36074671834477223,-0.34330677731624226,deep,4200,0.4930027581793549,0.5412913325914699,0,0
LAT54.5_LON8.0,-0.3484332327586024,-0.3551016842737778,-0.34176478124342685,shallow,95,0.991566447700581,1.5085141350987967,1,0
LAT41.2_LON-43.1,-0.349001935131662,-0.3692090154367996,-0.3287948548265243,deep,4500,0.41273752407244896,0.1544824542642354,0,0
LAT37.2_LON-39.4,-0.35181858347930034,-0.3848302414049846,-0.3188069255536163,deep,4200,0.6260748909862947,0.6708858862346756,0,0
LAT42.9_LON-35.5,-0.35054506851954265,-0.3604193749929487,-0.3406707620461366,deep,4500,0.7394917382089927,0.49848929152215693,0,0
LAT53.1_LON4.1,-0.3484127792462689,-0.3592069696910895,-0.33761858880144796,shallow,95,0.2043537349858796,1.0943397651423414,1,0
LAT50.9_LON1.3,-0.34756792119131885,-0.3550894103122746,-0.34004643207036334,shallow,60,0.5236498655570223,1.0262484271143284,1,1
LAT53.3_LON3.3,-0.33838285754861075,-0.35346945790505174,-0.32329625719216976,shallow,95,0.15999767421329159,1.7210911995615712,1,0
LAT38.1_LON-32.6,-0.3530028722080351,-0.37433218897125997,-0.33167355544481014,deep,4200,0.90150062201839,0.6171705276500689,0,0
LAT40.3_LON-37.1,-0.35483508569586425,-0.385754001255126,-0.3239161701366026,deep,4500,0.0,0.7069885552714299,0,0
LAT54.2_LON5.9,-0.34879362468842834,-0.3546932085493475,-0.3428940408275095,shallow,95,0.7322655712795089,1.0658790908791598,1,0
LAT37.6_LON-31.7,-0.3528045026179622,-0.373983187603427,-0.3316258176324975,deep,4200,0.19377816899720401,0.035359652433405525,0,0
LAT55.8_LON4.8,-0.353596773393403,-0.3631656069361055,-0.3440279398507003,shallow,95,0.45117383577882264,1.3476071687739635,1,0
LAT57.4_LON6.3,-0.3373318887269303,-0.3529745654763685,-0.3216892119774924,shallow,95,0.0,1.5846347163705996,1,0
LAT57.2_LON3.8,-0.34386963519230584,-0.35138355392720694,-0.33635571645740464,shallow,95,0.0,1.4250142713780773,1,0
LAT36.5_LON-37.3,-0.35417187509151604,-0.363746306591334,-0.34459744359169786,deep,4200,0.0,0.3645926535895296,0,0
LAT51.1_LON1.4,-0.35430897323889665,-0.36815854545032156,-0.3404594010274715,shallow,60,0.5171639667271721,1.7377345530827333,1,0
LAT38.5_LON-35.6,-0.34937136435834054,-0.3603755408195412,-0.3383671878971398,deep,4200,0.48748114009943805,0.14204461660220424,0,0
LAT52.6_LON4.2,-0.3467266050858505,-0.3541926806419193,-0.33926052952978164,shallow,95,0.17740350767359833,1.5799492552047383,1,0
LAT40.0_LON-37.0,-0.3495324554141416,-0.3570745670802789,-0.34199034374800424,deep,4500,0.6944615951408287,0.15815484713613842,0,0
LAT41.3_LON-42.2,-0.35138914056980536,-0.36760457472852387,-0.33517370641108707,deep,4500,0.0,0.6053742747293198,0,0
LAT41.3_LON-43.6,-0.35358325221670917,-0.36649846051730306,-0.34066804391611494,deep,4500,0.0,0.7186928307272387,0,0
LAT57.8_LON7.9,-0.3431255474025633,-0.35823025546714315,-0.3280208393379834,shallow,95,0.18714775524316343,1.2565365270169737,1,0
LAT50.4_LON-3.4,-0.35397184944882726,-0.3678851651014362,-0.34005853379621837,shallow,60,0.9978879710160269,0.8302900198144324,1,0
LAT39.3_LON-33.8,-0.3491756230290019,-0.3574041301784441,-0.3409471158795597,deep,4200,0.0,-0.09963646611115728,0,0
LAT57.5_LON5.9,-0.34749797599686816,-0.35809716621039306,-0.3368987857833437,shallow,95,0.07149897521539254,1.8260836550880712,1,1
LAT41.2_LON-43.4,-0.35237565402853904,-0.36388034576111294,-0.34087096229596514,deep,4500,0.0,0.7288537423774982,0,0
LAT38.6_LON-34.6,-0.35019005538838827,-0.35948755834913126,-0.34089255242764516,deep,4200,0.3542241299432687,-0.000679857352780866,0,1
LAT57.1_LON7.9,-0.34849587483924693,-0.3546969352696502,-0.3422948144088438,shallow,95,0.6166398935517801,1.4913937041571028,1,0
LAT41.5_LON-44.1,-0.3475112845280616,-0.3651610737604854,-0.3298614952956377,deep,4500,0.0,-0.10926272299753131,0,0
LAT55.9_LON5.0,-0.34819015435664197,-0.35255533187910004,-0.3438249768341839,shallow,95,0.0,1.8496155171965851,1,0
