cell_id,mean_ite,bathymetry,depth_zone
LAT35.0_LON-30.1,-0.3508462273198831,4200,deep
LAT35.0_LON-30.4,-0.35185381279156547,4200,deep
LAT35.0_LON-31.3,-0.351323438510567,4200,deep
LAT35.0_LON-31.6,-0.3514327359296478,4200,deep
LAT35.0_LON-31.9,-0.3497349761378586,4200,deep
LAT35.0_LON-32.1,-0.351095669435363,4200,deep
LAT35.0_LON-32.5,-0.3542836568326122,4200,deep
LAT35.0_LON-33.2,-0.3506240515490489,4200,deep
LAT35.0_LON-33.7,-0.3493536208925183,4200,deep
LAT35.0_LON-34.2,-0.34926510149060236,4200,deep
LAT35.0_LON-34.9,-0.35599166197979953,4200,deep
LAT35.0_LON-35.0,-0.3505638334950393,4200,deep
LAT35.0_LON-35.2,-0.3557182541748208,4200,deep
LAT35.0_LON-35.4,-0.3515447105042664,4200,deep
LAT35.0_LON-35.5,-0.35075811913036137,4200,deep
LAT35.0_LON-35.6,-0.35310146588362995,4200,deep
LAT35.0_LON-35.9,-0.3521369749723036,4200,deep
LAT35.0_LON-36.0,-0.35558677605437006,4200,deep
LAT35.0_LON-36.1,-0.3531393165203286,4200,deep
LAT35.0_LON-36.2,-0.3509698294655141,4200,deep
LAT35.0_LON-36.4,-0.3536350682947689,4200,deep
LAT35.0_LON-36.5,-0.351827698045519,4200,deep
LAT35.0_LON-36.6,-0.35245725186457944,4200,deep
LAT35.0_LON-36.7,-0.3519638253928552,4200,deep
LAT35.0_LON-36.8,-0.3482619963869163,4200,deep
LAT35.0_LON-36.9,-0.35235360425615986,4200,deep
LAT35.0_LON-37.0,-0.352344333970789,4200,deep
LAT35.0_LON-37.1,-0.35393125680856713,4200,deep
LAT35.0_LON-37.5,-0.3517053060449529,4200,deep
LAT35.0_LON-38.1,-0.3506706468425632,4200,deep
LAT35.0_LON-38.2,-0.3492222732792386,4200,deep
LAT35.0_LON-38.6,-0.34896678520767893,4200,deep
LAT35.0_LON-38.7,-0.3548464241727293,4200,deep
LAT35.0_LON-38.8,-0.347452134925139,4200,deep
LAT35.0_LON-38.9,-0.35075811913036137,4200,deep
LAT35.0_LON-39.2,-0.3550681048830186,4200,deep
LAT35.0_LON-39.3,-0.35646719567444335,4200,deep
LAT35.0_LON-39.5,-0.3491038958382689,4200,deep
LAT35.0_LON-39.6,-0.35405747593131154,4200,deep
LAT35.0_LON-39.7,-0.3514327359296478,4200,deep
LAT35.0_LON-40.0,-0.3479766504775704,4200,deep
LAT35.1_LON-30.1,-0.35008994789047004,4200,deep
LAT35.1_LON-30.2,-0.35609652650214874,4200,deep
LAT35.1_LON-30.3,-0.35141321291030675,4200,deep
LAT35.1_LON-30.9,-0.3669094441687868,4200,deep
LAT35.1_LON-31.1,-0.352727310756864,4200,deep
LAT35.1_LON-31.2,-0.35330842951702235,4200,deep
LAT35.1_LON-31.4,-0.3507935707506853,4200,deep
LAT35.1_LON-31.5,-0.35427338531542935,4200,deep
LAT35.1_LON-31.6,-0.35300944414348717,4200,deep
LAT35.1_LON-31.7,-0.3705552357933834,4200,deep
LAT35.1_LON-31.8,-0.3510289579394031,4200,deep
LAT35.1_LON-32.2,-0.3548464241727293,4200,deep
LAT35.1_LON-32.3,-0.3554233903923382,4200,deep
LAT35.1_LON-32.4,-0.3470976036740948,4200,deep
LAT35.1_LON-32.5,-0.3517705627261644,4200,deep
LAT35.1_LON-32.7,-0.3539196287421299,4200,deep
LAT35.1_LON-32.9,-0.35255499855406847,4200,deep
LAT35.1_LON-33.0,-0.3530989336504955,4200,deep
LAT35.1_LON-33.1,-0.3521797559294178,4200,deep
LAT35.1_LON-33.2,-0.3529679875596782,4200,deep
LAT35.1_LON-33.3,-0.35003695319557376,4200,deep
LAT35.1_LON-33.5,-0.35255692395039145,4200,deep
LAT35.1_LON-33.7,-0.3492437526913163,4200,deep
LAT35.1_LON-33.8,-0.3556891143020412,4200,deep
LAT35.1_LON-34.0,-0.35105356362023155,4200,deep
LAT35.1_LON-34.1,-0.35392770557962494,4200,deep
LAT35.1_LON-34.3,-0.3506299254427587,4200,deep
LAT35.1_LON-34.4,-0.3726079999552324,4200,deep
LAT35.1_LON-34.5,-0.3503380895923267,4200,deep
LAT35.1_LON-34.6,-0.3521111766586291,4200,deep
LAT35.1_LON-34.7,-0.35300091092462027,4200,deep
LAT35.1_LON-34.8,-0.35085172018150373,4200,deep
LAT35.1_LON-34.9,-0.3543337385172727,4200,deep
LAT35.1_LON-35.2,-0.3493520788614875,4200,deep
LAT35.1_LON-35.3,-0.35154114261623126,4200,deep
LAT35.1_LON-35.4,-0.3474064331706989,4200,deep
LAT35.1_LON-35.5,-0.35308071828139587,4200,deep
LAT35.1_LON-35.6,-0.35070180002948853,4200,deep
LAT35.1_LON-35.9,-0.35636993620430446,4200,deep
LAT35.1_LON-36.0,-0.35518532100135847,4200,deep
LAT35.1_LON-36.1,-0.35329498676232196,4200,deep
LAT35.1_LON-36.2,-0.3726079999552324,4200,deep
LAT35.1_LON-36.3,-0.3543394537415842,4200,deep
LAT35.1_LON-36.5,-0.347869226198168,4200,deep
LAT35.1_LON-36.6,-0.35079076754377525,4200,deep
LAT35.1_LON-36.7,-0.3481981703359124,4200,deep
